Date,ADP,AME,AXON,BA,BP,CARR,CAT,CMI,CPRT,CSX,CTAS,CVX,DAL,DE,DOV,EFX,EMR,ETN,EXPD,FAST,FDX,GD,GE,GWW,HON,HWM,IR,ITW,JCI,LHX,LMT,MMM,NOC,NSC,ODFL,OTIS,PAYX,PCAR,PH,ROK,RSG,RTX,SHEL,SWK,TDG,TT,TTE,UNP,UPS,URI,VRSK,WAB,WM,XOM,XYL
2000-11-01,29.897571563720703,2.8051507472991943,,45.12206268310547,13.677136421203613,,10.465729713439941,4.984113693237305,0.7083330154418945,0.9464863538742065,9.322456359863281,15.596924781799316,,12.453052520751953,17.213993072509766,15.69578742980957,18.210622787475586,6.780299186706543,9.977752685546875,1.1594629287719727,30.67795753479004,22.389060974121094,129.16310119628906,24.133424758911133,25.70642852783203,,,16.06074333190918,52.84930419921875,9.205474853515625,17.737764358520508,20.699670791625977,22.65952491760254,8.42259693145752,0.43141865730285645,,27.117631912231445,2.6330044269561768,17.076740264892578,8.81304931640625,6.072297096252441,12.912378311157227,17.593408584594727,13.777217864990234,,8.316794395446777,9.541780471801758,7.023682117462158,28.274356842041016,14.981610298156738,,4.106090545654297,13.239326477050781,19.41817283630371,
2000-12-01,28.724853515625,3.2066152095794678,,43.12117004394531,13.8032808303833,,12.595478057861328,5.354614734649658,0.8958330154418945,0.9464863538742065,9.734243392944336,16.085073471069336,,14.088835716247559,17.056304931640625,13.542040824890137,19.6943302154541,7.269786834716797,10.326373100280762,1.0324627161026,25.58203887939453,22.902896881103516,125.33494567871094,24.09217643737793,24.948423385620117,,,17.046436309814453,55.617584228515625,9.168057441711426,17.65973472595215,24.974321365356445,22.306779861450195,7.800060749053955,0.3998521566390991,,22.685529708862305,2.792034387588501,19.476879119873047,10.427862167358398,7.166872024536133,14.33696174621582,17.851318359375,15.950878143310547,,8.652560234069824,9.820436477661133,7.698611259460449,27.371686935424805,12.935929298400879,,5.360729217529297,15.347940444946289,19.183719635009766,
2001-01-01,27.158451080322266,3.293463706970215,,38.221038818359375,14.848443984985352,,11.861822128295898,5.295686721801758,0.7838540077209473,1.112977147102356,8.584444999694824,15.864566802978516,,13.199295043945312,17.40847396850586,13.996395111083984,18.991527557373047,9.131000518798828,11.215960502624512,1.0642129182815552,29.051881790161133,20.920900344848633,120.21699523925781,25.993160247802734,24.91546630859375,,,18.74571990966797,61.730525970458984,9.040825843811035,18.039461135864258,22.932842254638672,23.295806884765625,9.604779243469238,0.4156358540058136,,21.09401512145996,2.8558120727539062,19.333425521850586,10.330424308776855,5.733500957489014,13.672306060791016,17.78853988647461,17.55300521850586,,9.1557035446167,9.930213928222656,8.036892890930176,28.83926010131836,16.644634246826172,,6.318813323974609,13.495124816894531,18.568626403808594,
2001-02-01,26.768272399902344,3.412147045135498,,40.760581970214844,14.402358055114746,,11.159018516540527,5.256440162658691,0.7890629768371582,1.231532335281372,6.622203826904297,16.44222640991211,,12.51657485961914,16.182331085205078,14.34939193725586,16.80938148498535,9.503662109375,11.227972030639648,1.1306301355361938,26.20302963256836,20.095632553100586,121.57652282714844,23.215778350830078,24.738832473754883,,,17.329059600830078,54.765811920166016,7.517055988311768,19.485530853271484,23.491897583007812,25.249658584594727,10.63995361328125,0.43141865730285645,,18.66907501220703,2.645078182220459,19.074071884155273,10.118321418762207,6.938575267791748,14.247993469238281,17.193132400512695,17.79850196838379,,8.992094993591309,9.52624797821045,8.33421802520752,26.42259979248047,16.471349716186523,,6.391988754272461,14.031612396240234,17.97836685180664,
2001-03-01,24.71550750732422,3.4197323322296143,,36.50758743286133,14.408172607421875,,11.904741287231445,5.340373992919922,0.8537499904632568,1.2411072254180908,7.248165607452393,16.852998733520508,,11.24236011505127,15.119256019592285,14.794411659240723,15.578195571899414,9.149697303771973,9.70125961303711,1.0269891023635864,26.683170318603516,18.492216110229492,109.8393325805664,22.44655990600586,21.5994873046875,,,16.322927474975586,43.33464813232422,7.424330711364746,18.598636627197266,21.647974014282227,23.481769561767578,9.845927238464355,0.42089614272117615,,17.325136184692383,2.5559587478637695,17.60683822631836,8.00263500213623,7.818404674530029,13.404932975769043,16.341283798217773,16.964439392089844,,8.237053871154785,9.180378913879395,8.56307601928711,26.59554672241211,15.720465660095215,,5.7984466552734375,13.661050796508789,17.96727180480957,
2001-04-01,24.656429290771484,3.420971632003784,,40.49845886230469,15.703216552734375,,13.5610990524292,5.889490604400635,0.9545829892158508,1.2915616035461426,8.0553560256958,18.53445816040039,,12.705670356750488,16.481853485107422,15.656039237976074,16.746564865112305,9.832253456115723,9.622883796691895,1.222023367881775,26.932838439941406,22.816062927246094,127.34124755859375,25.715757369995117,25.877031326293945,,,18.201047897338867,53.499210357666016,8.624215126037598,18.34300422668457,24.796192169189453,24.35897445678711,11.610434532165527,0.41247835755348206,,16.19763946533203,2.7674224376678467,20.665428161621094,9.913579940795898,7.505668640136719,14.279093742370605,17.546838760375977,18.6634521484375,,9.749218940734863,10.11935806274414,8.660508155822754,26.852622985839844,19.272729873657227,,6.099784851074219,13.500656127929688,19.653095245361328,
2001-05-01,24.424633026123047,3.30202579498291,,41.32143020629883,15.6060152053833,,14.630857467651367,6.067140579223633,1.0,1.38082754611969,8.57570743560791,18.56304359436035,,11.557914733886719,17.934274673461914,16.65183448791504,17.112659454345703,10.50877571105957,12.404468536376953,1.2646104097366333,25.607650756835938,22.94631004333496,128.57444763183594,29.431961059570312,25.62293243408203,,,19.659883499145508,57.58906173706055,8.53946304321289,20.03352165222168,24.832717895507812,24.064401626586914,13.080068588256836,0.4735085964202881,,18.011445999145508,2.7555060386657715,21.49665069580078,10.408169746398926,7.664122104644775,15.278841972351074,18.213394165039062,19.684642791748047,,10.273873329162598,10.161419868469238,8.753368377685547,27.876907348632812,22.20888328552246,,5.962836265563965,15.47514820098877,19.78339385986328,
2001-06-01,22.62943458557129,3.7928643226623535,0.5333330035209656,36.53158950805664,14.571274757385254,,13.520576477050781,5.544233322143555,1.21875,1.3451933860778809,8.503998756408691,17.490407943725586,,11.777673721313477,15.92888355255127,17.411319732666016,15.290436744689941,9.420275688171387,11.558753967285156,1.167940616607666,25.735681533813477,23.03215217590332,128.57444763183594,27.41385841369629,18.47603416442871,,,18.233840942382812,54.692440032958984,8.175890922546387,19.384750366210938,23.89452362060547,21.71652603149414,12.242286682128906,0.4103747606277466,,18.747270584106445,2.9506077766418457,18.884654998779297,8.441695213317871,8.277084350585938,13.435693740844727,17.403976440429688,21.694536209106445,,8.577174186706543,9.673601150512695,8.388571739196777,27.103199005126953,24.98138427734375,,6.853837966918945,17.045888900756836,19.475688934326172,
2001-07-01,23.19856834411621,3.8822548389434814,0.5208330154418945,38.456729888916016,14.445588111877441,,14.982711791992188,5.832189559936523,1.1825000047683716,1.4520952701568604,9.224769592285156,17.66243553161621,,13.053460121154785,15.294270515441895,18.972904205322266,14.496849060058594,9.869115829467773,10.946137428283691,1.2342711687088013,26.48471450805664,24.033977508544922,114.5126953125,28.039936065673828,19.624061584472656,,,18.147417068481445,53.37807083129883,9.020219802856445,20.729387283325195,23.429607391357422,21.751760482788086,11.870586395263672,0.4861358106136322,,18.46202850341797,3.3763842582702637,19.890291213989258,9.273730278015137,8.297935485839844,13.4613618850708,17.323335647583008,22.58035659790039,,9.093472480773926,9.767308235168457,8.202192306518555,26.64835548400879,22.51694107055664,,6.625375747680664,17.14545249938965,18.621742248535156,
2001-08-01,23.5673828125,3.7878975868225098,0.7083330154418945,33.743247985839844,14.977763175964355,,13.595934867858887,5.449334144592285,1.0262500047683716,1.3155244588851929,8.56099796295166,17.663204193115234,,13.43308162689209,15.252068519592285,20.889713287353516,13.640028953552246,9.724782943725586,9.797969818115234,1.2389827966690063,26.952043533325195,23.460540771484375,107.66827392578125,28.302095413208008,19.93204116821289,,,18.006275177001953,52.12385940551758,8.812893867492676,20.912635803222656,21.922426223754883,22.341821670532227,11.018467903137207,0.5038131475448608,,17.4144344329834,3.1894471645355225,19.656051635742188,9.368274688720703,8.277084350585938,12.583650588989258,17.0974063873291,21.82457733154297,,8.480302810668945,10.176569938659668,8.138029098510742,25.98700523376465,22.382165908813477,,6.351485252380371,17.106733322143555,18.00420379638672,
