Date,AAL,BHP,BP,CAT,CMI,CVX,DAL,DE,FCX,LUV,NEM,PCAR,RIO,SCCO,SHEL,TTE,UAL,UNP,URI,VALE,XOM
2000-11-01,,2.435978651046753,13.677145004272461,10.465728759765625,4.984112739562988,15.596920013427734,,12.453047752380371,2.3232293128967285,17.755382537841797,10.256178855895996,2.6330065727233887,3.721665382385254,0.6004370450973511,17.593406677246094,9.541787147521973,,7.023680686950684,14.981611251831055,,19.418170928955078
2000-12-01,,2.5340206623077393,13.803282737731934,12.595486640930176,5.354612827301025,16.08506965637207,,14.088839530944824,2.4673049449920654,18.86585235595703,11.219995498657227,2.7920355796813965,4.369732856750488,0.6246970295906067,17.851327896118164,9.820440292358398,,7.698609352111816,12.935929298400879,,19.183712005615234
2001-01-01,,2.5062668323516846,14.848434448242188,11.861824989318848,5.2956862449646,15.864572525024414,,13.199300765991211,3.3713839054107666,17.62801742553711,10.159646987915039,2.8558120727539062,4.335018157958984,0.6671527624130249,17.788536071777344,9.930211067199707,,8.036897659301758,16.644634246826172,,18.56862449645996
2001-02-01,,2.6486546993255615,14.402363777160645,11.15902042388916,5.256440162658691,16.442224502563477,,12.51657772064209,4.04854154586792,15.702193260192871,11.080255508422852,2.6450772285461426,4.499954700469971,0.7035422921180725,17.193124771118164,9.526247024536133,,8.334219932556152,16.471345901489258,,17.978363037109375
2001-03-01,,2.327679395675659,14.40816879272461,11.904742240905762,5.3403730392456055,16.85299301147461,,11.242362022399902,3.760390281677246,14.98461627960205,10.619093894958496,2.5559589862823486,4.348809242248535,0.6763086915016174,16.34128761291504,9.180379867553711,,8.563076972961426,15.720465660095215,,17.96727752685547
2001-04-01,,2.6402089595794678,15.703216552734375,13.56109619140625,5.889489650726318,18.534452438354492,,12.705660820007324,4.08023738861084,15.37295150756836,12.009062767028809,2.7674219608306885,5.009748935699463,0.6861099004745483,17.546838760375977,10.119359970092773,,8.660503387451172,19.272729873657227,,19.653095245361328
2001-05-01,,2.7210559844970703,15.606022834777832,14.630853652954102,6.067142486572266,18.56303596496582,,11.557917594909668,4.515347480773926,16.88407325744629,13.497844696044922,2.7555062770843506,4.922945499420166,0.6839795708656311,18.213390350341797,10.161419868469238,,8.753368377685547,22.208885192871094,,19.783384323120117
2001-06-01,,2.6559739112854004,14.57127571105957,13.520578384399414,5.5442352294921875,17.49042320251465,,11.777670860290527,3.18408465385437,15.611760139465332,12.277076721191406,2.9506075382232666,4.504434108734131,0.609462559223175,17.403976440429688,9.673601150512695,,8.388571739196777,24.981382369995117,,19.475692749023438
2001-07-01,,2.483945369720459,14.44558334350586,14.982718467712402,5.832190036773682,17.662429809570312,,13.053460121154785,3.1005196571350098,16.8951473236084,12.336445808410645,3.3763835430145264,4.167144298553467,0.5857751369476318,17.323333740234375,9.767309188842773,,8.202195167541504,22.516939163208008,,18.62174415588379
2001-08-01,,2.529336452484131,14.977767944335938,13.595926284790039,5.449335098266602,17.6632080078125,,13.43308162689209,3.567328453063965,15.109406471252441,13.68223762512207,3.1894471645355225,4.598880767822266,0.5946084856987,17.097400665283203,10.1765775680542,,8.138033866882324,22.382169723510742,,18.004209518432617
2001-09-01,,2.1687235832214355,14.474390029907227,12.181951522827148,4.763658046722412,16.495399475097656,,11.77158260345459,3.166795492172241,12.53346061706543,15.591540336608887,2.830129623413086,3.9580531120300293,0.4682542383670807,15.17119312286377,9.30843448638916,,7.191940784454346,16.692764282226562,,17.667884826660156
2001-10-01,,2.304898738861084,14.23005199432373,12.251592636108398,4.5196990966796875,17.235010147094727,,11.57752513885498,3.1984920501708984,13.428707122802734,15.327280044555664,3.0464117527008057,4.073653221130371,0.4360464811325073,15.249688148498535,9.61021614074707,,7.9755401611328125,17.568796157836914,,17.6903076171875
2001-11-01,,2.7094640731811523,13.099474906921387,12.991293907165527,5.277423858642578,16.675451278686523,,12.51649284362793,3.846834659576416,15.835734367370605,12.99515151977539,3.5276854038238525,4.740238666534424,0.5285802483558655,14.594532012939453,8.831642150878906,,8.4417142868042,20.957406997680664,,16.869335174560547
2001-12-01,,2.737581491470337,13.793449401855469,14.31452751159668,5.609265327453613,17.577774047851562,,13.733949661254883,3.858360767364502,15.61186695098877,12.644353866577148,3.818765640258789,4.919295310974121,0.5958995819091797,14.799839973449707,9.679117202758789,,8.772012710571289,21.852697372436523,,17.726327896118164
2002-01-01,,2.954850435256958,13.855728149414062,13.875960350036621,5.485552787780762,16.43809700012207,,13.831465721130371,4.480771541595459,16.00048065185547,14.45068359375,3.855428457260132,5.0405497550964355,0.5909130573272705,15.086658477783203,9.69565200805664,,9.54918384552002,20.456815719604492,,17.613569259643555
2002-02-01,,3.1184396743774414,14.811996459960938,15.319302558898926,6.094648838043213,16.70557975769043,,15.077149391174316,4.221433162689209,17.837865829467773,15.959271430969238,4.2044453620910645,5.022958278656006,0.5619799494743347,15.509339332580566,10.135236740112305,,9.33680248260498,23.42185401916504,,18.73918342590332
2002-03-01,,3.1286652088165283,15.873193740844727,15.68911361694336,6.9228057861328125,17.858976364135742,,14.400518417358398,5.0772480964660645,16.350669860839844,18.34387969970703,4.279266834259033,5.100163459777832,0.6497891545295715,16.399974822998047,10.555527687072754,,9.594253540039062,26.454275131225586,0.6522146463394165,19.88712501525879
